scan_id,scan_date,scan_time,data_date,code,name,market,symbol,grade,score,reasons,close,volume,vol_ratio,dif,dea,hist,ma5,ma10,ma20,ma60,bb_upper,bb_mid,bb_lower,bb_width,buy_note,stop_note,target_note,cond_macd_gc,cond_first_red,cond_ma5_ma10_gc,cond_above_ma60,cond_ma60_up,cond_vol_expand,cond_boll_breakout,cond_price_above_ma20,ret_3d,ret_5d,ret_10d,success_5d,type,open,high,low,aggressive_buy_price,pullback_buy_price,conservative_buy_price,wave_buy_price,sell_price_1,sell_price_2,stop_loss_short,stop_loss_wave,stop_loss_hard,support_1,support_2,support_3,resistance_1,resistance_2,recent_low_20,cond_close_above_recent_high,rsi14,cond_a1_ma20_up,cond_a1_above_ma60,cond_a1_macd_first_red,cond_a1_ma5_cross_ma10,cond_a1_breakout_20d,cond_a1_vol_expand,cond_a1_red_candle,cond_a2_ma60_up,cond_a2_bullish_alignment,cond_a2_pullback_to_ma,cond_a2_macd_positive,cond_a2_vol_shrink,cond_a2_higher_lows
2026-03-21_5490,2026-03-21,2026-03-21 09:50:44,2026-03-20,5490,同亨,上櫃,5490.TWO,B,49,站上季線、季線向上、量增、突破布林上軌、股價站上20日線,29.1,2129962,1.86,0.4977,0.1421,0.3556,27.72,26.91,26.39,26.62,28.44,26.39,24.34,0.1557,買點：若續強且不跌破 10 日線 26.91 可續觀察。,停損：跌破 20 日線 26.39 宜控管風險。,目標：先看波段壓力與布林上緣 28.44。,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.86,-3.44,-9.11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_3221,2026-03-21,2026-03-21 09:50:18,2026-03-20,3221,台嘉碩,上櫃,3221.TWO,B,49,站上季線、季線向上、量增、突破布林上軌、股價站上20日線,36.75,5649453,1.75,1.2607,0.8452,0.4155,31.44,29.98,30.12,26.49,35.09,30.12,25.15,0.3302,買點：若續強且不跌破 10 日線 29.98 可續觀察。,停損：跌破 20 日線 30.12 宜控管風險。,目標：先看波段壓力與布林上緣 35.09。,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-4.76,-1.9,-4.76,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_4967,2026-03-21,2026-03-21 09:50:38,2026-03-20,4967,十銓,上市,4967.TW,B,49,站上季線、季線向上、量增、突破布林上軌、股價站上20日線,261.5,36699036,1.57,10.5889,2.3,8.2889,242.4,215.55,207.62,199.73,258.02,207.62,157.23,0.4854,買點：若續強且不跌破 10 日線 215.55 可續觀察。,停損：跌破 20 日線 207.62 宜控管風險。,目標：先看波段壓力與布林上緣 258.02。,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-2.68,-12.62,-18.74,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_6492,2026-03-21,2026-03-21 09:50:58,2026-03-20,6492,生華科,上櫃,6492.TWO,B,49,站上季線、季線向上、量增、突破布林上軌、股價站上20日線,57.2,1061920,1.56,0.5743,0.0374,0.5369,53.6,51.49,51.4,49.42,55.62,51.4,47.17,0.1644,買點：若續強且不跌破 10 日線 51.49 可續觀察。,停損：跌破 20 日線 51.40 宜控管風險。,目標：先看波段壓力與布林上緣 55.62。,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-5.77,-4.72,-15.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_8432,2026-03-21,2026-03-21 09:51:13,2026-03-20,8432,東生華,上櫃,8432.TWO,B,46,MACD黃金交叉、MACD第1根紅柱,51.5,27060,0.99,-1.1194,-1.1242,0.0048,51.7,51.48,52.94,55.55,56.52,52.94,49.37,0.1349,買點：若續強且不跌破 10 日線 51.48 可續觀察。,停損：跌破 20 日線 52.94 宜控管風險。,目標：先看波段壓力與布林上緣 56.52。,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.58,-1.36,-0.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_5356,2026-03-21,2026-03-21 09:50:42,2026-03-20,5356,協益,上櫃,5356.TWO,B,46,MACD黃金交叉、MACD第1根紅柱,24.7,47822,0.79,-0.2583,-0.2657,0.0074,24.7,24.65,24.93,25.37,25.6,24.93,24.26,0.0541,買點：若續強且不跌破 10 日線 24.65 可續觀察。,停損：跌破 20 日線 24.93 宜控管風險。,目標：先看波段壓力與布林上緣 25.60。,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,-0.2,2.43,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_3211,2026-03-21,2026-03-21 09:50:18,2026-03-20,3211,順達,上櫃,3211.TWO,C,57,5日/10日黃金交叉、站上季線、季線向上、量增、股價站上20日線,325.0,18293232,2.73,2.1957,0.9753,1.2204,309.0,307.35,303.62,308.16,329.68,303.62,277.57,0.1717,買點：先等站穩季線 308.16 或 MACD 更明確轉強。,停損：若跌破 20 日線 303.62 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.92,12.31,9.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_5276,2026-03-21,2026-03-21 09:50:41,2026-03-20,5276,達輝-KY,上櫃,5276.TWO,C,57,5日/10日黃金交叉、站上季線、季線向上、量增、股價站上20日線,15.8,7000,1.25,-0.0386,-0.0335,-0.0051,15.58,15.57,15.7,15.59,16.15,15.7,15.26,0.0566,買點：先等站穩季線 15.59 或 MACD 更明確轉強。,停損：若跌破 20 日線 15.70 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-4.11,-4.75,-1.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_6642,2026-03-21,2026-03-21 09:51:01,2026-03-20,6642,富致,上櫃,6642.TWO,C,40,5日/10日黃金交叉、站上季線、季線向上,55.1,66236,0.68,-0.0176,0.2243,-0.2419,55.58,55.53,56.44,54.47,58.68,56.44,54.21,0.0793,買點：先等站穩季線 54.47 或 MACD 更明確轉強。,停損：若跌破 20 日線 56.44 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.18,-1.63,-2.72,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_4908,2026-03-21,2026-03-21 09:50:36,2026-03-20,4908,前鼎,上櫃,4908.TWO,C,39,站上季線、季線向上、量增、股價站上20日線,114.5,23811377,2.23,7.7369,6.2817,1.4552,107.1,100.88,96.51,82.5,115.74,96.51,77.28,0.3985,買點：先等站穩季線 82.50 或 MACD 更明確轉強。,停損：若跌破 20 日線 96.51 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-0.44,-1.75,-9.61,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
